City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Binghamton,US,42.0987,-75.918,60.91,83,100,3.44,overcast clouds
199,Srivardhan,IN,18.0333,73.0167,82.17,79,97,11.16,overcast clouds
200,Oga,IT,46.4631,10.347,45.28,81,97,10.65,overcast clouds
201,Broome,US,42.2506,-75.833,59.67,88,100,3.44,overcast clouds
202,Moron,AR,-34.6534,-58.6198,62.96,78,100,10.47,overcast clouds
203,Valday,RU,57.9747,33.2525,45.93,92,100,9.69,overcast clouds
204,Alta Floresta,BR,-9.8756,-56.0861,76.37,58,79,3.0,broken clouds
205,Tuktoyaktuk,CA,69.4541,-133.0374,38.71,85,100,6.38,light rain
206,Hamilton,US,39.1834,-84.5333,67.57,90,0,4.61,mist
207,Diu,IN,20.7141,70.9822,84.61,68,93,12.03,overcast clouds
208,East London,ZA,-33.0153,27.9116,66.18,68,66,9.35,broken clouds
209,Te Anau,NZ,-45.4167,167.7167,41.36,92,97,2.24,overcast clouds
210,Porosozero,RU,62.7191,32.727,49.37,88,100,3.94,overcast clouds
211,Anadyr,RU,64.75,177.4833,43.3,86,100,26.84,light rain
212,Hovd,MN,48.0056,91.6419,51.13,46,80,8.9,broken clouds
213,Amberley,US,39.2048,-84.428,66.88,90,0,1.01,mist
214,Cortez,US,37.3489,-108.5859,53.69,58,75,4.61,broken clouds
215,Kenai,US,60.5544,-151.2583,51.1,93,100,12.66,overcast clouds
216,Mastic Beach,US,40.7668,-72.8521,65.98,72,0,3.44,clear sky
217,Flagstaff,US,35.1981,-111.6513,60.46,74,0,1.01,clear sky
218,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,82,0,10.36,clear sky
219,Loandjili,CG,-4.7561,11.8578,71.71,100,75,2.3,mist
220,Aswan,EG,24.0934,32.907,88.43,23,1,12.17,clear sky
221,Port Moresby,PG,-9.4431,147.1797,85.42,74,40,2.26,haze
222,Port Macquarie,AU,-31.4333,152.9167,69.46,50,17,9.08,few clouds
223,Cantaura,VE,9.3057,-64.3584,72.64,92,100,2.75,overcast clouds
224,Mehamn,NO,71.0357,27.8492,46.31,100,100,19.57,drizzle rain
225,Miraflores,MX,19.2167,-98.8083,60.98,94,99,2.35,overcast clouds
226,Kattivakkam,IN,13.2167,80.3167,93.29,55,100,7.63,overcast clouds
227,Gympie,AU,-26.1898,152.665,82.42,39,84,8.39,broken clouds
228,Sisimiut,GL,66.9395,-53.6735,45.01,78,100,7.61,overcast clouds
229,Tiksi,RU,71.6872,128.8694,36.05,99,100,5.53,light rain
230,Fort Nelson,CA,58.8053,-122.7002,54.99,50,100,5.75,overcast clouds
231,Luderitz,NA,-26.6481,15.1594,64.04,62,49,13.96,scattered clouds
232,Redlands,US,34.0556,-117.1825,71.51,78,0,5.75,clear sky
233,Gushikawa,JP,26.3544,127.8686,83.43,94,75,21.85,broken clouds
234,Serenje,ZM,-13.2325,30.2352,73.67,34,42,10.27,scattered clouds
235,Axim,GH,4.8699,-2.2405,75.13,92,100,4.56,light rain
236,Brae,GB,60.3964,-1.353,49.39,72,100,19.06,overcast clouds
237,Vila Velha,BR,-20.3297,-40.2925,64.35,97,100,17.0,mist
238,Quatre Cocos,MU,-20.2078,57.7625,76.08,71,9,17.65,light rain
239,Billings,US,45.7833,-108.5007,56.97,89,75,10.36,broken clouds
240,Lompoc,US,34.6391,-120.4579,58.57,95,100,13.8,overcast clouds
241,Emerald,AU,-23.5333,148.1667,80.35,44,9,13.51,clear sky
242,Krasnoselkup,RU,65.7,82.4667,47.37,93,100,8.14,light rain
243,Narsaq,GL,60.9167,-46.05,57.42,61,100,15.57,overcast clouds
244,Deputatskiy,RU,69.3,139.9,34.65,77,100,3.65,overcast clouds
245,Lasa,IT,46.6166,10.7002,52.68,84,100,9.46,overcast clouds
246,Vestmannaeyjar,IS,63.4427,-20.2734,48.42,81,99,7.65,overcast clouds
247,Kaitangata,NZ,-46.2817,169.8464,44.96,79,100,2.82,overcast clouds
248,Muzhi,RU,65.3667,64.6667,54.84,57,100,11.12,overcast clouds
249,Dongsheng,CN,39.8161,109.9776,74.82,19,0,7.09,clear sky
250,Terney,RU,45.0503,136.6092,57.16,98,100,7.54,overcast clouds
251,Tooele,US,40.5308,-112.2983,59.97,49,21,5.77,few clouds
252,Vanimo,PG,-2.6741,141.3028,85.08,66,83,6.85,broken clouds
253,Csemo,HU,47.118,19.6909,55.56,85,100,7.63,light rain
254,Ambilobe,MG,-13.2,49.05,88.65,29,0,9.89,clear sky
255,Tagusao,PH,9.1924,117.8141,85.33,70,100,11.99,overcast clouds
256,Garowe,SO,8.4054,48.4845,87.15,40,11,22.7,few clouds
257,Berlevag,NO,70.8578,29.0864,46.35,93,100,26.46,light rain
258,Kamenka,RU,51.3223,42.7678,63.23,64,38,10.47,scattered clouds
259,Luanda,AO,-8.8368,13.2343,69.8,94,40,3.44,scattered clouds
260,Pangody,RU,65.85,74.4859,57.56,52,100,15.57,overcast clouds
261,Kailua,US,21.4022,-157.7394,80.15,92,63,7.65,broken clouds
262,Goba,ET,7.0167,39.9833,61.23,57,13,4.85,few clouds
263,Dubti,ET,11.7361,41.0853,94.24,31,10,15.12,clear sky
264,Lerwick,GB,60.1545,-1.1494,48.2,73,100,17.85,light rain
265,Batagay-Alyta,RU,67.8006,130.4114,41.41,44,2,23.98,clear sky
266,Leningradskiy,RU,69.3833,178.4167,35.51,99,100,14.14,light rain
267,Grand Gaube,MU,-20.0064,57.6608,76.37,65,1,11.99,clear sky
268,Port Lincoln,AU,-34.7333,135.8667,56.41,72,100,21.47,overcast clouds
269,Kununurra,AU,-15.7667,128.7333,100.38,9,87,5.75,overcast clouds
270,Waipawa,NZ,-41.4122,175.5153,46.18,84,72,4.36,broken clouds
271,Zharkent,KZ,44.1628,80.0,75.51,17,11,5.08,few clouds
272,Beringovskiy,RU,63.05,179.3167,44.71,92,100,24.92,moderate rain
273,Kostino,RU,58.9097,53.2691,56.32,63,100,8.81,overcast clouds
274,Centralia,US,46.7162,-122.9543,53.44,92,79,1.32,broken clouds
275,Russell,US,32.3502,-85.1999,70.83,78,2,5.08,clear sky
276,Faanui,PF,-16.4833,-151.75,77.54,75,98,21.99,light rain
277,Alyangula,AU,-13.8483,136.4192,83.37,65,12,8.72,few clouds
278,Najran,SA,17.4924,44.1277,88.45,22,88,1.83,overcast clouds
279,Marau,BR,-28.4492,-52.2,49.17,94,3,7.9,clear sky
280,Bonthe,SL,7.5264,-12.505,76.48,87,24,2.44,few clouds
281,Vilyuysk,RU,63.7553,121.6247,46.02,50,92,10.29,overcast clouds
282,Wadi Musa,JO,30.3222,35.4793,78.58,32,0,8.61,clear sky
283,Male,MV,4.1748,73.5089,81.72,69,0,5.73,clear sky
284,Olafsvik,IS,64.8945,-23.7142,47.55,79,100,5.48,overcast clouds
285,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,4.61,overcast clouds
286,Caborca,MX,30.5838,-111.101,76.12,39,0,0.63,clear sky
287,Srandakan,ID,-7.9386,110.2506,81.57,71,100,15.12,overcast clouds
288,Pisco,PE,-13.7,-76.2167,57.25,88,20,2.3,smoke
