City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Neiafu,TO,2022-09-17 01:38:30,-18.65,-173.9833,83.08,78,20,10.36
247,Antofagasta,CL,2022-09-17 01:38:30,-23.65,-70.4,56.48,85,20,2.59
248,Zaysan,KZ,2022-09-17 01:38:31,47.4667,84.8667,52.21,40,0,1.45
249,Katsuura,JP,2022-09-17 01:38:31,35.1333,140.3,82.2,66,100,10.2
250,Pangody,RU,2022-09-17 01:38:31,65.85,74.4859,50.13,71,100,8.72
251,Charters Towers,AU,2022-09-17 01:38:32,-20.1,146.2667,88.65,33,13,5.64
252,Kanker,IN,2022-09-17 01:38:32,20.2719,81.4931,75.22,87,99,8.84
253,Haines Junction,CA,2022-09-17 01:36:12,60.7522,-137.5108,58.95,36,6,2.3
254,Pyapon,MM,2022-09-17 01:38:33,16.2833,95.6833,81.0,82,98,4.72
255,San Quintin,MX,2022-09-17 01:38:33,30.4833,-115.95,68.5,77,0,13.24
256,Tres Arroyos,AR,2022-09-17 01:38:33,-38.3739,-60.2798,61.81,47,100,17.54
257,Husavik,IS,2022-09-17 01:38:34,66.0449,-17.3389,42.64,92,100,6.82
258,Baturaja,ID,2022-09-17 01:38:34,-4.1333,104.1667,81.77,74,100,1.48
259,Stornoway,GB,2022-09-17 01:38:34,58.2093,-6.3865,49.96,91,75,3.44
260,Amapa,BR,2022-09-17 01:38:35,1.0,-52.0,71.73,92,31,3.29
261,Concarneau,FR,2022-09-17 01:38:35,47.875,-3.9225,50.79,80,0,6.6
262,Makakilo City,US,2022-09-17 01:38:35,21.3469,-158.0858,82.72,71,20,11.5
263,Vanimo,PG,2022-09-17 01:38:36,-2.6741,141.3028,84.02,71,66,8.61
264,Nara,JP,2022-09-17 01:38:36,34.6851,135.8049,83.52,61,100,12.86
265,Mirnyy,RU,2022-09-17 01:38:37,62.5353,113.9611,41.23,86,97,7.0
